#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,4,Codeforces Beta Round 4 (Div. 2 Only),A,Watermelon,800,611765,brute force;math,https://codeforces.com/contest/4/problem/A,div2
2,71,Codeforces Beta Round 65 (Div. 2),A,Way Too Long Words,800,449621,strings,https://codeforces.com/contest/71/problem/A,div2
3,231,Codeforces Round 143 (Div. 2),A,Team,800,381882,brute force;greedy,https://codeforces.com/contest/231/problem/A,div2
4,282,Codeforces Round 173 (Div. 2),A,Bit++,800,316125,implementation,https://codeforces.com/contest/282/problem/A,div2
5,263,Codeforces Round 161 (Div. 2),A,Beautiful Matrix,800,284742,implementation,https://codeforces.com/contest/263/problem/A,div2
6,112,Codeforces Beta Round 85 (Div. 2 Only),A,Petya and Strings,800,260001,implementation;strings,https://codeforces.com/contest/112/problem/A,div2
7,339,Codeforces Round 197 (Div. 2),A,Helpful Maths,800,248166,greedy;implementation;sortings;strings,https://codeforces.com/contest/339/problem/A,div2
8,236,Codeforces Round 146 (Div. 2),A,Boy or Girl,800,247942,brute force;implementation;strings,https://codeforces.com/contest/236/problem/A,div2
9,281,Codeforces Round 172 (Div. 2),A,Word Capitalization,800,244697,implementation;strings,https://codeforces.com/contest/281/problem/A,div2
10,791,"Codeforces Round 405 (rated, Div. 2, based on VK Cup 2017 Round 1)",A,Bear and Big Brother,800,229339,implementation,https://codeforces.com/contest/791/problem/A,div2
11,118,Codeforces Beta Round 89 (Div. 2),A,String Task,1000,215790,implementation;strings,https://codeforces.com/contest/118/problem/A,div2
12,546,Codeforces Round 304 (Div. 2),A,Soldier and Bananas,800,211845,brute force;implementation;math,https://codeforces.com/contest/546/problem/A,div2
13,59,Codeforces Beta Round 55 (Div. 2),A,Word,800,204760,implementation;strings,https://codeforces.com/contest/59/problem/A,div2
14,977,Codeforces Round 479 (Div. 3),A,Wrong Subtraction,800,195091,implementation,https://codeforces.com/contest/977/problem/A,div3
15,69,Codeforces Beta Round 63 (Div. 2),A,Young Physicist,1000,186795,implementation;math,https://codeforces.com/contest/69/problem/A,div2
16,110,Codeforces Beta Round 84 (Div. 2 Only),A,Nearly Lucky Number,800,179825,implementation,https://codeforces.com/contest/110/problem/A,div2
17,96,Codeforces Beta Round 77 (Div. 2 Only),A,Football,900,179048,implementation;strings,https://codeforces.com/contest/96/problem/A,div2
18,41,Codeforces Beta Round 40 (Div. 2),A,Translation,800,169178,implementation;strings,https://codeforces.com/contest/41/problem/A,div2
19,116,Codeforces Beta Round 87 (Div. 2 Only),A,Tram,800,161238,implementation,https://codeforces.com/contest/116/problem/A,div2
20,266,Codeforces Round 163 (Div. 2),B,Queue at the School,800,152377,constructive algorithms;graph matchings;implementation;shortest paths,https://codeforces.com/contest/266/problem/B,div2
21,58,Codeforces Beta Round 54 (Div. 2),A,Chat room,1000,144542,greedy;strings,https://codeforces.com/contest/58/problem/A,div2
