#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,32,"Codeforces Beta Round 32 (Div. 2, Codeforces format)",B,Borze,800,72941,expression parsing;implementation,https://codeforces.com/contest/32/problem/B,div2
2,200,Codeforces Round 126 (Div. 2),B,Drinks,800,133538,implementation;math,https://codeforces.com/contest/200/problem/B,div2
3,266,Codeforces Round 163 (Div. 2),B,Queue at the School,800,152377,constructive algorithms;graph matchings;implementation;shortest paths,https://codeforces.com/contest/266/problem/B,div2
4,734,Codeforces Round 379 (Div. 2),B,Anton and Digits,800,30745,brute force;greedy;implementation;math,https://codeforces.com/contest/734/problem/B,div2
5,831,"Codeforces Round 424 (Div. 2, rated, based on VK Cup Finals)",B,Keyboard Layouts,800,15261,implementation;strings,https://codeforces.com/contest/831/problem/B,div2
6,1325,Codeforces Round 628 (Div. 2),B,CopyCopyCopyCopyCopy,800,37783,greedy;implementation,https://codeforces.com/contest/1325/problem/B,div2
7,1391,Codeforces Round 663 (Div. 2),B,Fix You,800,28772,brute force;greedy;implementation,https://codeforces.com/contest/1391/problem/B,div2
8,1398,Educational Codeforces Round 93 (Rated for Div. 2),B,Substring Removal Game,800,25364,games;greedy;sortings,https://codeforces.com/contest/1398/problem/B,div2
9,1430,Educational Codeforces Round 96 (Rated for Div. 2),B,Barrels,800,19789,greedy;implementation;sortings,https://codeforces.com/contest/1430/problem/B,div2
10,1519,Educational Codeforces Round 108 (Rated for Div. 2),B,The Cake Is a Lie,800,32408,dp;math,https://codeforces.com/contest/1519/problem/B,div2
11,1539,Codeforces Round 727 (Div. 2),B,Love Song,800,25712,dp;implementation;strings,https://codeforces.com/contest/1539/problem/B,div2
12,1549,Codeforces Round 736 (Div. 2),B,Gregor and the Pawn Game,800,25688,dfs and similar;dp;flows;graph matchings;graphs;greedy;implementation,https://codeforces.com/contest/1549/problem/B,div2
13,1629,Codeforces Round 767 (Div. 2),B,GCD Arrays,800,24330,greedy;math;number theory,https://codeforces.com/contest/1629/problem/B,div2
14,1633,Educational Codeforces Round 122 (Rated for Div. 2),B,Minority,800,28632,greedy,https://codeforces.com/contest/1633/problem/B,div2
15,1635,Codeforces Round 772 (Div. 2),B,Avoid Local Maximums,800,18263,greedy,https://codeforces.com/contest/1635/problem/B,div2
16,1644,Educational Codeforces Round 123 (Rated for Div. 2),B,Anti-Fibonacci Permutation,800,21050,brute force;constructive algorithms;implementation,https://codeforces.com/contest/1644/problem/B,div2
17,1646,Codeforces Round 774 (Div. 2),B,Quality vs Quantity,800,21809,brute force;constructive algorithms;greedy;sortings;two pointers,https://codeforces.com/contest/1646/problem/B,div2
18,1651,Educational Codeforces Round 124 (Rated for Div. 2),B,Prove Him Wrong,800,20055,constructive algorithms;greedy,https://codeforces.com/contest/1651/problem/B,div2
19,1657,Educational Codeforces Round 125 (Rated for Div. 2),B,XY Sequence,800,23292,greedy,https://codeforces.com/contest/1657/problem/B,div2
20,1658,Codeforces Round 779 (Div. 2),B,Marin and Anti-coprime Permutation,800,19148,combinatorics;math;number theory,https://codeforces.com/contest/1658/problem/B,div2
21,1680,Educational Codeforces Round 128 (Rated for Div. 2),B,Robots,800,18832,implementation,https://codeforces.com/contest/1680/problem/B,div2
22,1681,Educational Codeforces Round 129 (Rated for Div. 2),B,Card Trick,800,20661,implementation;math,https://codeforces.com/contest/1681/problem/B,div2
