#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,4,Codeforces Beta Round 4 (Div. 2 Only),C,Registration System,1300,96180,data structures;hashing;implementation,https://codeforces.com/contest/4/problem/C,div2
2,489,Codeforces Round 277.5 (Div. 2),C,Given Length and Sum of Digits...,1400,49265,dp;greedy;implementation,https://codeforces.com/contest/489/problem/C,div2
3,479,Codeforces Round 274 (Div. 2),C,Exams,1400,31452,greedy;sortings,https://codeforces.com/contest/479/problem/C,div2
4,1195,Codeforces Round 574 (Div. 2),C,Basketball Exercise,1400,30569,dp,https://codeforces.com/contest/1195/problem/C,div2
5,1537,Codeforces Round 726 (Div. 2),C,Challenging Cliffs,1200,29289,constructive algorithms;greedy;implementation;math,https://codeforces.com/contest/1537/problem/C,div2
6,1201,Codeforces Round 577 (Div. 2),C,Maximum Median,1400,28545,binary search;greedy;math;sortings,https://codeforces.com/contest/1201/problem/C,div2
7,1511,Educational Codeforces Round 107 (Rated for Div. 2),C,Yet Another Card Deck,1100,28170,brute force;data structures;implementation;trees,https://codeforces.com/contest/1511/problem/C,div2
8,515,Codeforces Round 292 (Div. 2),C,Drazil and Factorial,1400,27689,greedy;math;sortings,https://codeforces.com/contest/515/problem/C,div2
9,1832,Educational Codeforces Round 148 (Rated for Div. 2),C,Contrast Value,1200,27598,greedy;implementation,https://codeforces.com/contest/1832/problem/C,div2
10,1613,Educational Codeforces Round 118 (Rated for Div. 2),C,Poisoned Dagger,1200,27417,binary search,https://codeforces.com/contest/1613/problem/C,div2
11,1539,Codeforces Round 727 (Div. 2),C,Stable Groups,1200,27082,greedy;sortings,https://codeforces.com/contest/1539/problem/C,div2
12,1793,Codeforces Round 852 (Div. 2),C,Dora and Search,1200,26672,constructive algorithms;data structures;two pointers,https://codeforces.com/contest/1793/problem/C,div2
13,1430,Educational Codeforces Round 96 (Rated for Div. 2),C,Numbers on Whiteboard,1000,26490,constructive algorithms;data structures;greedy;implementation;math,https://codeforces.com/contest/1430/problem/C,div2
14,1370,Codeforces Round 651 (Div. 2),C,Number Game,1400,26143,games;math;number theory,https://codeforces.com/contest/1370/problem/C,div2
15,893,Educational Codeforces Round 33 (Rated for Div. 2),C,Rumor,1300,26012,dfs and similar;graphs;greedy,https://codeforces.com/contest/893/problem/C,div2
16,1285,Codeforces Round 613 (Div. 2),C,Fadi and LCM,1400,25996,brute force;math;number theory,https://codeforces.com/contest/1285/problem/C,div2
17,2004,Educational Codeforces Round 169 (Rated for Div. 2),C,Splitting Items,1100,25844,games;greedy;sortings,https://codeforces.com/contest/2004/problem/C,div2
18,1401,Codeforces Round 665 (Div. 2),C,Mere Array,1300,25628,constructive algorithms;math;number theory;sortings,https://codeforces.com/contest/1401/problem/C,div2
19,285,Codeforces Round 175 (Div. 2),C,Building Permutation,1200,25359,greedy;implementation;sortings,https://codeforces.com/contest/285/problem/C,div2
20,1858,Codeforces Round 893 (Div. 2),C,Yet Another Permutation Problem,1000,24704,constructive algorithms;greedy;math;number theory,https://codeforces.com/contest/1858/problem/C,div2
21,1997,Educational Codeforces Round 168 (Rated for Div. 2),C,Even Positions,1100,24361,constructive algorithms;data structures;greedy,https://codeforces.com/contest/1997/problem/C,div2
22,1365,Codeforces Round 648 (Div. 2),C,Rotation Matching,1400,24144,constructive algorithms;data structures;greedy;implementation,https://codeforces.com/contest/1365/problem/C,div2
23,1594,Codeforces Round 747 (Div. 2),C,Make Them Equal,1200,23813,brute force;greedy;math;strings,https://codeforces.com/contest/1594/problem/C,div2
24,1837,Educational Codeforces Round 149 (Rated for Div. 2),C,Best Binary String,1000,23748,constructive algorithms;greedy,https://codeforces.com/contest/1837/problem/C,div2
