#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,180,"Codeforces Round 116 (Div. 2, ACM-ICPC Rules)",F,Mathematical Analysis Rocks!,1200,2650,constructive algorithms;implementation;math,https://codeforces.com/contest/180/problem/F,div2
2,1046,"Bubble Cup 11 - Finals [Online Mirror, Div. 2]",F,Splitting money,1400,2888,implementation,https://codeforces.com/contest/1046/problem/F,div2
3,1131,Codeforces Round 541 (Div. 2),F,Asya And Kittens,1700,7148,constructive algorithms;dsu,https://codeforces.com/contest/1131/problem/F,div2
4,234,"Codeforces Round 145 (Div. 2, ACM-ICPC Rules)",F,Fence,1800,1894,dp,https://codeforces.com/contest/234/problem/F,div2
5,731,Codeforces Round 376 (Div. 2),F,Video Cards,1900,2980,brute force;data structures;implementation;math;number theory,https://codeforces.com/contest/731/problem/F,div2
6,131,Codeforces Beta Round 95 (Div. 2),F,Present to Mom,2000,684,binary search;two pointers,https://codeforces.com/contest/131/problem/F,div2
7,659,Codeforces Round 346 (Div. 2),F,Polycarp and Hay,2000,1882,dfs and similar;dsu;graphs;greedy;sortings,https://codeforces.com/contest/659/problem/F,div2
8,920,Educational Codeforces Round 37 (Rated for Div. 2),F,SUM and REPLACE,2000,7750,brute force;data structures;dsu;number theory,https://codeforces.com/contest/920/problem/F,div2
9,1132,Educational Codeforces Round 61 (Rated for Div. 2),F,Clear the String,2000,9308,dp,https://codeforces.com/contest/1132/problem/F,div2
10,1891,Codeforces Round 907 (Div. 2),F,A Growing Tree,2000,4328,data structures;dfs and similar;trees,https://codeforces.com/contest/1891/problem/F,div2
11,474,Codeforces Round 271 (Div. 2),F,Ant colony,2100,10152,data structures;math;number theory,https://codeforces.com/contest/474/problem/F,div2
12,489,Codeforces Round 277.5 (Div. 2),F,Special Matrices,2100,1823,combinatorics;dp,https://codeforces.com/contest/489/problem/F,div2
13,899,Codeforces Round 452 (Div. 2),F,Letters Removing,2100,1937,data structures;strings,https://codeforces.com/contest/899/problem/F,div2
14,954,Educational Codeforces Round 40 (Rated for Div. 2),F,Runner's Problem,2100,1317,dp;matrices;sortings,https://codeforces.com/contest/954/problem/F,div2
15,1185,Codeforces Round 568 (Div. 2),F,Two Pizzas,2100,2112,bitmasks;brute force,https://codeforces.com/contest/1185/problem/F,div2
16,1207,Educational Codeforces Round 71 (Rated for Div. 2),F,Remainder Problem,2100,6167,brute force;data structures;implementation,https://codeforces.com/contest/1207/problem/F,div2
17,1365,Codeforces Round 648 (Div. 2),F,Swaps Again,2100,4606,constructive algorithms;implementation;sortings,https://codeforces.com/contest/1365/problem/F,div2
18,490,Codeforces Round 279 (Div. 2),F,Treeland Tour,2200,1816,data structures;dfs and similar;dp;trees,https://codeforces.com/contest/490/problem/F,div2
19,733,Codeforces Round 378 (Div. 2),F,Drivers Dissatisfaction,2200,1203,data structures;dsu;graphs;trees,https://codeforces.com/contest/733/problem/F,div2
20,746,Codeforces Round 386 (Div. 2),F,Music in Car,2200,850,data structures;greedy;two pointers,https://codeforces.com/contest/746/problem/F,div2
21,903,Educational Codeforces Round 34 (Rated for Div. 2),F,Clear The Matrix,2200,718,bitmasks;dp,https://codeforces.com/contest/903/problem/F,div2
22,1238,Educational Codeforces Round 74 (Rated for Div. 2),F,The Maximum Subtree,2200,1990,dfs and similar;dp;graphs;trees,https://codeforces.com/contest/1238/problem/F,div2
23,1333,Codeforces Round 632 (Div. 2),F,Kate and imperfection,2200,4447,greedy;implementation;math;number theory;sortings;two pointers,https://codeforces.com/contest/1333/problem/F,div2
24,1537,Codeforces Round 726 (Div. 2),F,Figure Fixing,2200,2628,constructive algorithms;dfs and similar;dsu;graphs;greedy;math,https://codeforces.com/contest/1537/problem/F,div2
