#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,1844,Codeforces Round 884 (Div. 1 + Div. 2),D,Row Major,1400,13376,constructive algorithms;greedy;math;number theory;strings,https://codeforces.com/contest/1844/problem/D,div1
2,1863,Pinely Round 2 (Div. 1 + Div. 2),D,Two-Colored Dominoes,1400,10385,constructive algorithms;greedy,https://codeforces.com/contest/1863/problem/D,div1
3,1553,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",D,Backspace,1500,14560,dp;greedy;strings;two pointers,https://codeforces.com/contest/1553/problem/D,div1
4,1740,Codeforces Round 831 (Div. 1 + Div. 2),D,Knowledge Cards,1500,8755,constructive algorithms;data structures,https://codeforces.com/contest/1740/problem/D,div1
5,1530,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",D,Secret Santa,1600,9747,constructive algorithms;flows;graphs;greedy;math,https://codeforces.com/contest/1530/problem/D,div1
6,1609,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",D,Social Network,1600,7906,dsu;graphs;greedy;implementation;trees,https://codeforces.com/contest/1609/problem/D,div1
7,1774,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",D,Same Count One,1600,8692,brute force;constructive algorithms;greedy;implementation;two pointers,https://codeforces.com/contest/1774/problem/D,div1
8,2034,"Rayan Programming Contest 2024 - Selection (Codeforces Round 989, Div. 1 + Div. 2)",D,Darius' Wisdom,1600,5982,constructive algorithms;greedy;implementation;sortings,https://codeforces.com/contest/2034/problem/D,div1
9,2061,"IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)",D,Kevin and Numbers,1600,9599,bitmasks;data structures,https://codeforces.com/contest/2061/problem/D,div1
10,2084,"Teza Round 1 (Codeforces Round 1015, Div. 1 + Div. 2)",D,Arcology On Permafrost,1600,7554,binary search;brute force;constructive algorithms;greedy;math,https://codeforces.com/contest/2084/problem/D,div1
11,765,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),D,Artsem and Saunders,1700,2554,constructive algorithms;dsu;math,https://codeforces.com/contest/765/problem/D,div1
12,1023,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",D,Array Restoration,1700,4171,constructive algorithms;data structures,https://codeforces.com/contest/1023/problem/D,div1
13,1037,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",D,Valid BFS?,1700,16999,dfs and similar;graphs;shortest paths;trees,https://codeforces.com/contest/1037/problem/D,div1
14,1209,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",D,Cow and Snacks,1700,10176,dfs and similar;dsu;graphs,https://codeforces.com/contest/1209/problem/D,div1
15,1684,Codeforces Round 792 (Div. 1 + Div. 2),D,Traps,1700,10330,constructive algorithms;greedy;sortings,https://codeforces.com/contest/1684/problem/D,div1
16,1810,"CodeTON Round 4 (Div. 1 + Div. 2, Rated, Prizes!)",D,Climbing the Tree,1700,8112,binary search;math,https://codeforces.com/contest/1810/problem/D,div1
17,1864,Harbour.Space Scholarship Contest 2023-2024 (Div. 1 + Div. 2),D,Matrix Cascade,1700,7328,brute force;constructive algorithms;data structures;dp;greedy;math,https://codeforces.com/contest/1864/problem/D,div1
18,1896,"CodeTON Round 7 (Div. 1 + Div. 2, Rated, Prizes!)",D,Ones and Twos,1700,6498,binary search;data structures;divide and conquer;math;two pointers,https://codeforces.com/contest/1896/problem/D,div1
19,1975,Codeforces Round 947 (Div. 1 + Div. 2),D,Paint the Tree,1700,6937,brute force;dfs and similar;dp;greedy;shortest paths;trees,https://codeforces.com/contest/1975/problem/D,div1
20,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)",D,Shohag Loves GCD,1700,6304,constructive algorithms;greedy;math;number theory,https://codeforces.com/contest/2039/problem/D,div1
21,2124,"EPIC Institute of Technology Round Summer 2025 (Codeforces Round 1036, Div. 1 + Div. 2)",D,Make a Palindrome,1700,6840,greedy;sortings;two pointers,https://codeforces.com/contest/2124/problem/D,div1
22,1517,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),D,Explorer Space,1800,8541,dp;graphs;shortest paths,https://codeforces.com/contest/1517/problem/D,div1
23,1534,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),D,Lost Tree,1800,6424,constructive algorithms;interactive;trees,https://codeforces.com/contest/1534/problem/D,div1
24,1556,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",D,Take a Guess,1800,7779,bitmasks;constructive algorithms;interactive;math,https://codeforces.com/contest/1556/problem/D,div1
25,1750,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",D,Count GCD,1800,6670,combinatorics;math;number theory,https://codeforces.com/contest/1750/problem/D,div1
26,1870,"CodeTON Round 6 (Div. 1 + Div. 2, Rated, Prizes!)",D,Prefix Purchase,1800,7651,greedy;implementation;sortings,https://codeforces.com/contest/1870/problem/D,div1
27,1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),D,World is Mine,1800,8120,dp;games,https://codeforces.com/contest/1987/problem/D,div1
28,2127,"Atto Round 1 (Codeforces Round 1041, Div. 1 + Div. 2)",D,"Root was Built by Love, Broken by Destiny",1800,4825,combinatorics;dfs and similar;graphs;trees,https://codeforces.com/contest/2127/problem/D,div1
29,722,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",D,Generating Sets,1900,3265,binary search;data structures;dfs and similar;greedy;strings;trees,https://codeforces.com/contest/722/problem/D,div1
30,724,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",D,Dense Subsequence,1900,2403,data structures;greedy;strings,https://codeforces.com/contest/724/problem/D,div1
31,914,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",D,Bash and a Tough Math Puzzle,1900,5897,data structures;number theory,https://codeforces.com/contest/914/problem/D,div1
32,1017,"Codeforces Round 502 (in memory of Leopoldo Taravilse, Div. 1 + Div. 2)",D,The Wu,1900,3749,bitmasks;brute force;data structures,https://codeforces.com/contest/1017/problem/D,div1
33,1060,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",D,Social Circles,1900,3752,greedy;math,https://codeforces.com/contest/1060/problem/D,div1
34,1208,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",D,Restore Permutation,1900,5269,binary search;data structures;greedy;implementation,https://codeforces.com/contest/1208/problem/D,div1
35,1214,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",D,Treasure Island,1900,6032,dfs and similar;dp;flows;hashing,https://codeforces.com/contest/1214/problem/D,div1
36,1220,Codeforces Round 586 (Div. 1 + Div. 2),D,Alex and Julian,1900,4032,bitmasks;math;number theory,https://codeforces.com/contest/1220/problem/D,div1
37,1305,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",D,Kuroni and the Celebration,1900,5237,constructive algorithms;dfs and similar;interactive;trees,https://codeforces.com/contest/1305/problem/D,div1
38,1307,Codeforces Round 621 (Div. 1 + Div. 2),D,Cow and Fields,1900,6857,binary search;data structures;dfs and similar;graphs;greedy;shortest paths;sortings,https://codeforces.com/contest/1307/problem/D,div1
39,1428,Codeforces Raif Round 1 (Div. 1 + Div. 2),D,Bouncing Boomerangs,1900,4615,constructive algorithms;greedy;implementation,https://codeforces.com/contest/1428/problem/D,div1
40,1656,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",D,K-good,1900,7295,constructive algorithms;math;number theory,https://codeforces.com/contest/1656/problem/D,div1
41,1704,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",D,Magical Array,1900,5253,constructive algorithms;hashing;implementation;math,https://codeforces.com/contest/1704/problem/D,div1
42,1787,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",D,Game on Axis,1900,3657,combinatorics;dfs and similar;dsu;graphs;implementation,https://codeforces.com/contest/1787/problem/D,div1
43,1842,"CodeTON Round 5 (Div. 1 + Div. 2, Rated, Prizes!)",D,Tenzing and His Animal Friends ,1900,4445,constructive algorithms;graphs;greedy,https://codeforces.com/contest/1842/problem/D,div1
44,1909,Pinely Round 3 (Div. 1 + Div. 2),D,Split Plus K,1900,4845,greedy;math;number theory,https://codeforces.com/contest/1909/problem/D,div1
45,1991,Pinely Round 4 (Div. 1 + Div. 2),D,Prime XOR Coloring,1900,7393,bitmasks;constructive algorithms;graphs;greedy;math;number theory,https://codeforces.com/contest/1991/problem/D,div1
46,1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),D,Funny Game,1900,6681,constructive algorithms;dsu;graphs;greedy;math;number theory;trees,https://codeforces.com/contest/1994/problem/D,div1
47,109,Codeforces Beta Round 84 (Div. 1 Only),D,Lucky Sorting,2000,867,constructive algorithms;sortings,https://codeforces.com/contest/109/problem/D,div1
48,128,Codeforces Beta Round 94 (Div. 1 Only),D,Numbers,2000,1199,constructive algorithms;implementation,https://codeforces.com/contest/128/problem/D,div1
49,776,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",D,The Door Problem,2000,5691,2-sat;dfs and similar;dsu;graphs,https://codeforces.com/contest/776/problem/D,div1
50,1010,Codeforces Round 499 (Div. 1),D,Mars rover,2000,2468,dfs and similar;graphs;implementation;trees,https://codeforces.com/contest/1010/problem/D,div1
51,1190,Codeforces Round 573 (Div. 1),D,Tokitsukaze and Strange Rectangle,2000,2439,data structures;divide and conquer;sortings;two pointers,https://codeforces.com/contest/1190/problem/D,div1
52,1726,Codeforces Round 819 (Div. 1 + Div. 2) and Grimoire of Code Annual Contest 2022,D,Edge Split,2000,3953,brute force;constructive algorithms;dfs and similar;dsu;graphs;probabilities;trees,https://codeforces.com/contest/1726/problem/D,div1
53,1804,Nebius Welcome Round (Div. 1 + Div. 2),D,Accommodation,2000,4985,brute force;dp;greedy;implementation,https://codeforces.com/contest/1804/problem/D,div1
54,2096,"Neowise Labs Contest 1 (Codeforces Round 1018, Div. 1 + Div. 2)",D,Wonderful Lightbulbs,2000,4807,combinatorics;constructive algorithms;math,https://codeforces.com/contest/2096/problem/D,div1
55,103,Codeforces Beta Round 80 (Div. 1 Only),D,Time to Raid Cowavans,2100,2347,brute force;data structures;sortings,https://codeforces.com/contest/103/problem/D,div1
56,132,Codeforces Beta Round 96 (Div. 1),D,Constants in the language of Shakespeare,2100,677,constructive algorithms;dp;greedy,https://codeforces.com/contest/132/problem/D,div1
57,226,Codeforces Round 140 (Div. 1),D,The table,2100,1021,constructive algorithms;greedy,https://codeforces.com/contest/226/problem/D,div1
58,229,Codeforces Round 142 (Div. 1),D,Towers,2100,2445,dp;greedy;two pointers,https://codeforces.com/contest/229/problem/D,div1
59,333,Codeforces Round 194 (Div. 1),D,Characteristics of Rectangles,2100,2176,binary search;bitmasks;brute force;implementation;sortings,https://codeforces.com/contest/333/problem/D,div1
60,343,Codeforces Round 200 (Div. 1),D,Water Tree,2100,6359,data structures;dfs and similar;graphs;trees,https://codeforces.com/contest/343/problem/D,div1
61,799,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",D,Field expansion,2100,2119,brute force;dp;meet-in-the-middle,https://codeforces.com/contest/799/problem/D,div1
62,960,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",D,Full Binary Tree Queries,2100,1910,brute force;implementation;trees,https://codeforces.com/contest/960/problem/D,div1
