#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,492,Codeforces Round 280 (Div. 2),B,Vanya and Lanterns,1200,83379,binary search;implementation;math;sortings,https://codeforces.com/contest/492/problem/B,div2
2,474,Codeforces Round 271 (Div. 2),B,Worms,1200,56182,binary search;implementation,https://codeforces.com/contest/474/problem/B,div2
3,489,Codeforces Round 277.5 (Div. 2),B,BerSU Ball,1200,53235,dfs and similar;dp;graph matchings;greedy;sortings;two pointers,https://codeforces.com/contest/489/problem/B,div2
4,433,Codeforces Round 248 (Div. 2),B,Kuriyama Mirai's Stones,1200,46965,dp;implementation;sortings,https://codeforces.com/contest/433/problem/B,div2
5,1354,Educational Codeforces Round 87 (Rated for Div. 2),B,Ternary String,1200,33414,binary search;dp;implementation;two pointers,https://codeforces.com/contest/1354/problem/B,div2
6,1541,Codeforces Round 728 (Div. 2),B,Pleasant Pairs,1200,33244,brute force;implementation;math;number theory,https://codeforces.com/contest/1541/problem/B,div2
7,1420,Codeforces Round 672 (Div. 2),B,Rock and Lever,1200,30875,bitmasks;math,https://codeforces.com/contest/1420/problem/B,div2
8,1514,Codeforces Round 716 (Div. 2),B,"AND 0, Sum Big",1200,29969,bitmasks;combinatorics;math,https://codeforces.com/contest/1514/problem/B,div2
9,1339,Codeforces Round 633 (Div. 2),B,Sorted Adjacent Differences,1200,27474,constructive algorithms;sortings,https://codeforces.com/contest/1339/problem/B,div2
10,4,Codeforces Beta Round 4 (Div. 2 Only),B,Before an Exam,1200,27427,constructive algorithms;greedy,https://codeforces.com/contest/4/problem/B,div2
11,1355,Codeforces Round 643 (Div. 2),B,Young Explorers,1200,26708,dp;greedy;sortings,https://codeforces.com/contest/1355/problem/B,div2
12,1369,Codeforces Round 652 (Div. 2),B,AccurateLee,1200,25103,greedy;implementation;strings,https://codeforces.com/contest/1369/problem/B,div2
13,1487,Educational Codeforces Round 104 (Rated for Div. 2),B,Cat Cycle,1200,24767,math;number theory,https://codeforces.com/contest/1487/problem/B,div2
14,1406,Codeforces Round 670 (Div. 2),B,Maximum Product,1200,23667,brute force;dp;greedy;implementation;sortings,https://codeforces.com/contest/1406/problem/B,div2
15,961,Educational Codeforces Round 41 (Rated for Div. 2),B,Lecture Sleep,1200,23644,data structures;dp;implementation;two pointers,https://codeforces.com/contest/961/problem/B,div2
16,1497,Codeforces Round 708 (Div. 2),B,M-arrays,1200,23528,constructive algorithms;greedy;math,https://codeforces.com/contest/1497/problem/B,div2
17,1808,Codeforces Round 861 (Div. 2),B,Playing in a Casino,1200,23413,math;sortings,https://codeforces.com/contest/1808/problem/B,div2
18,1792,Educational Codeforces Round 142 (Rated for Div. 2),B,Stand-up Comedian,1200,23152,greedy;math,https://codeforces.com/contest/1792/problem/B,div2
19,1679,Codeforces Round 791 (Div. 2),B,Stone Age Problem,1200,23043,data structures;implementation,https://codeforces.com/contest/1679/problem/B,div2
20,1455,Educational Codeforces Round 99 (Rated for Div. 2),B,Jumps,1200,22678,constructive algorithms;math,https://codeforces.com/contest/1455/problem/B,div2
21,1922,Educational Codeforces Round 161 (Rated for Div. 2),B,Forming Triangles,1200,22491,combinatorics;constructive algorithms;math;sortings,https://codeforces.com/contest/1922/problem/B,div2
22,1989,Educational Codeforces Round 167 (Rated for Div. 2),B,Substring and Subsequence,1200,22336,brute force;greedy;strings,https://codeforces.com/contest/1989/problem/B,div2
23,1504,Codeforces Round 712 (Div. 2),B,Flip the Bits,1200,21990,constructive algorithms;greedy;implementation;math,https://codeforces.com/contest/1504/problem/B,div2
24,1925,Codeforces Round 921 (Div. 2),B,A Balanced Problemset?,1200,21922,brute force;greedy;math;number theory,https://codeforces.com/contest/1925/problem/B,div2
