#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,1452,Educational Codeforces Round 98 (Rated for Div. 2),C,Two Brackets,800,20408,greedy,https://codeforces.com/contest/1452/problem/C,div2
2,1106,Codeforces Round 536 (Div. 2),C,Lunar New Year and Number Division,900,15208,greedy;implementation;math;sortings,https://codeforces.com/contest/1106/problem/C,div2
3,1430,Educational Codeforces Round 96 (Rated for Div. 2),C,Numbers on Whiteboard,1000,26490,constructive algorithms;data structures;greedy;implementation;math,https://codeforces.com/contest/1430/problem/C,div2
4,1634,Codeforces Round 770 (Div. 2),C,OKEA,1000,18743,constructive algorithms,https://codeforces.com/contest/1634/problem/C,div2
5,1837,Educational Codeforces Round 149 (Rated for Div. 2),C,Best Binary String,1000,23748,constructive algorithms;greedy,https://codeforces.com/contest/1837/problem/C,div2
6,1858,Codeforces Round 893 (Div. 2),C,Yet Another Permutation Problem,1000,24704,constructive algorithms;greedy;math;number theory,https://codeforces.com/contest/1858/problem/C,div2
7,12,Codeforces Beta Round 12 (Div 2 Only),C,Fruits,1100,6716,greedy;implementation;sortings,https://codeforces.com/contest/12/problem/C,div2
8,1455,Educational Codeforces Round 99 (Rated for Div. 2),C,Ping-pong,1100,20090,constructive algorithms;games;math,https://codeforces.com/contest/1455/problem/C,div2
9,1511,Educational Codeforces Round 107 (Rated for Div. 2),C,Yet Another Card Deck,1100,28170,brute force;data structures;implementation;trees,https://codeforces.com/contest/1511/problem/C,div2
10,1633,Educational Codeforces Round 122 (Rated for Div. 2),C,Kill the Monster,1100,20772,brute force;math,https://codeforces.com/contest/1633/problem/C,div2
11,1712,Codeforces Round 813 (Div. 2),C,Sort Zero,1100,20753,greedy;sortings,https://codeforces.com/contest/1712/problem/C,div2
12,1743,Educational Codeforces Round 137 (Rated for Div. 2),C,Save the Magazines,1100,20116,constructive algorithms;dp;greedy,https://codeforces.com/contest/1743/problem/C,div2
13,1997,Educational Codeforces Round 168 (Rated for Div. 2),C,Even Positions,1100,24361,constructive algorithms;data structures;greedy,https://codeforces.com/contest/1997/problem/C,div2
14,2004,Educational Codeforces Round 169 (Rated for Div. 2),C,Splitting Items,1100,25844,games;greedy;sortings,https://codeforces.com/contest/2004/problem/C,div2
15,2030,Codeforces Round 979 (Div. 2),C,A TRUE Battle,1100,18951,brute force;games;greedy,https://codeforces.com/contest/2030/problem/C,div2
16,2104,Educational Codeforces Round 178 (Rated for Div. 2),C,Card Game,1100,15536,brute force;constructive algorithms;games;greedy;math,https://codeforces.com/contest/2104/problem/C,div2
17,2111,Educational Codeforces Round 179 (Rated for Div. 2),C,Equal Values,1100,16992,brute force;greedy;two pointers,https://codeforces.com/contest/2111/problem/C,div2
18,2125,Educational Codeforces Round 181 (Rated for Div. 2),C,Count Good Numbers,1100,19085,bitmasks;combinatorics;math;number theory,https://codeforces.com/contest/2125/problem/C,div2
19,6,Codeforces Beta Round 6 (Div. 2 Only),C,"Alice, Bob and Chocolate",1200,15827,greedy;two pointers,https://codeforces.com/contest/6/problem/C,div2
20,9,Codeforces Beta Round 9 (Div. 2 Only),C,Hexadecimal's Numbers,1200,13714,brute force;implementation;math,https://codeforces.com/contest/9/problem/C,div2
21,18,Codeforces Beta Round 18 (Div. 2 Only),C,Stripe,1200,14315,data structures;implementation,https://codeforces.com/contest/18/problem/C,div2
22,53,Codeforces Beta Round 49 (Div. 2),C,Little Frog,1200,6820,constructive algorithms,https://codeforces.com/contest/53/problem/C,div2
23,285,Codeforces Round 175 (Div. 2),C,Building Permutation,1200,25359,greedy;implementation;sortings,https://codeforces.com/contest/285/problem/C,div2
24,659,Codeforces Round 346 (Div. 2),C,Tanya and Toys,1200,11705,greedy;implementation,https://codeforces.com/contest/659/problem/C,div2
25,732,Codeforces Round 377 (Div. 2),C,Sanatorium,1200,9953,binary search;constructive algorithms;greedy;implementation;math,https://codeforces.com/contest/732/problem/C,div2
26,779,Codeforces Round 402 (Div. 2),C,Dishonest Sellers,1200,12372,constructive algorithms;greedy;sortings,https://codeforces.com/contest/779/problem/C,div2
27,903,Educational Codeforces Round 34 (Rated for Div. 2),C,Boxes Packing,1200,20519,greedy,https://codeforces.com/contest/903/problem/C,div2
28,1099,Codeforces Round 530 (Div. 2),C,Postcard,1200,10093,constructive algorithms;implementation,https://codeforces.com/contest/1099/problem/C,div2
29,1100,Codeforces Round 532 (Div. 2),C,NN and the Optical Illusion,1200,10561,binary search;geometry;math,https://codeforces.com/contest/1100/problem/C,div2
30,1131,Codeforces Round 541 (Div. 2),C,Birthday,1200,15312,binary search;greedy;sortings,https://codeforces.com/contest/1131/problem/C,div2
31,1221,Educational Codeforces Round 73 (Rated for Div. 2),C,Perfect Team,1200,23262,binary search;math,https://codeforces.com/contest/1221/problem/C,div2
32,1257,Educational Codeforces Round 76 (Rated for Div. 2),C,Dominated Subarray,1200,16510,greedy;implementation;sortings;strings;two pointers,https://codeforces.com/contest/1257/problem/C,div2
33,1315,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",C,Restoring Permutation,1200,10362,greedy,https://codeforces.com/contest/1315/problem/C,div2
34,1537,Codeforces Round 726 (Div. 2),C,Challenging Cliffs,1200,29289,constructive algorithms;greedy;implementation;math,https://codeforces.com/contest/1537/problem/C,div2
35,1539,Codeforces Round 727 (Div. 2),C,Stable Groups,1200,27082,greedy;sortings,https://codeforces.com/contest/1539/problem/C,div2
36,1559,Codeforces Round 738 (Div. 2),C,Mocha and Hiking,1200,21868,constructive algorithms;graphs,https://codeforces.com/contest/1559/problem/C,div2
37,1582,Codeforces Round 750 (Div. 2),C,Grandma Capa Knits a Scarf,1200,19565,brute force;data structures;greedy;strings;two pointers,https://codeforces.com/contest/1582/problem/C,div2
