#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,977,Codeforces Round 479 (Div. 3),A,Wrong Subtraction,800,195090,implementation,https://codeforces.com/contest/977/problem/A,div3
2,1328,Codeforces Round 629 (Div. 3),A,Divisibility Problem,800,118256,math,https://codeforces.com/contest/1328/problem/A,div3
3,1335,Codeforces Round 634 (Div. 3),A,Candies and Two Sisters,800,95557,math,https://codeforces.com/contest/1335/problem/A,div3
4,1154,Codeforces Round 552 (Div. 3),A,Restoring Three Numbers,800,79677,math,https://codeforces.com/contest/1154/problem/A,div3
5,1475,Codeforces Round 697 (Div. 3),A,Odd Divisor,900,74152,math;number theory,https://codeforces.com/contest/1475/problem/A,div3
6,1409,Codeforces Round 667 (Div. 3),A,Yet Another Two Integers Problem,800,74029,greedy;math,https://codeforces.com/contest/1409/problem/A,div3
7,1399,Codeforces Round 661 (Div. 3),A,Remove Smallest,800,73726,greedy;sortings,https://codeforces.com/contest/1399/problem/A,div3
8,1512,Codeforces Round 713 (Div. 3),A,Spy Detected!,800,72497,brute force;implementation,https://codeforces.com/contest/1512/problem/A,div3
9,1899,Codeforces Round 909 (Div. 3),A,Game with Integers,800,68708,games;math;number theory,https://codeforces.com/contest/1899/problem/A,div3
10,1560,Codeforces Round 739 (Div. 3),A,Dislike of Threes,800,67885,implementation,https://codeforces.com/contest/1560/problem/A,div3
11,1367,Codeforces Round 650 (Div. 3),A,Short Substrings,800,62702,implementation;strings,https://codeforces.com/contest/1367/problem/A,div3
12,1857,Codeforces Round 891 (Div. 3),A,Array Coloring,800,62662,greedy;math,https://codeforces.com/contest/1857/problem/A,div3
13,1878,Codeforces Round 900 (Div. 3),A,How Much Does Daytona Cost?,800,60918,greedy,https://codeforces.com/contest/1878/problem/A,div3
14,1374,Codeforces Round 653 (Div. 3),A,Required Remainder,800,59219,math,https://codeforces.com/contest/1374/problem/A,div3
15,1433,Codeforces Round 677 (Div. 3),A,Boring Apartments,800,58245,implementation;math,https://codeforces.com/contest/1433/problem/A,div3
16,1619,Codeforces Round 762 (Div. 3),A,Square String?,800,58214,implementation;strings,https://codeforces.com/contest/1619/problem/A,div3
17,1283,Codeforces Round 611 (Div. 3),A,Minutes Before the New Year,800,57064,math,https://codeforces.com/contest/1283/problem/A,div3
18,1624,Codeforces Round 764 (Div. 3),A,Plus One on the Subset,800,56734,math,https://codeforces.com/contest/1624/problem/A,div3
19,1520,Codeforces Round 719 (Div. 3),A,Do Not Be Distracted!,800,55931,brute force;implementation,https://codeforces.com/contest/1520/problem/A,div3
20,1551,Codeforces Round 734 (Div. 3),A,Polycarp and Coins,800,55466,greedy;math,https://codeforces.com/contest/1551/problem/A,div3
21,1772,Codeforces Round 839 (Div. 3),A,A+B?,800,55053,implementation,https://codeforces.com/contest/1772/problem/A,div3
22,1360,Codeforces Round 644 (Div. 3),A,Minimal Square,800,54636,greedy;math,https://codeforces.com/contest/1360/problem/A,div3
23,1426,Codeforces Round 674 (Div. 3),A,Floor Number,800,51967,implementation;math,https://codeforces.com/contest/1426/problem/A,div3
